[2026-06-29 16:04:34] === 1/3 Google Places photos ===
Google enriching 5459 places (photos=True)
  4120/5459 — matched 2526, updated 2526, photos 2056
  4130/5459 — matched 2536, updated 2536, photos 2060
  4140/5459 — matched 2546, updated 2546, photos 2069
  4150/5459 — matched 2556, updated 2556, photos 2076
  4160/5459 — matched 2566, updated 2566, photos 2082
  4170/5459 — matched 2576, updated 2576, photos 2092
  4180/5459 — matched 2586, updated 2586, photos 2100
  4190/5459 — matched 2596, updated 2596, photos 2109
  4200/5459 — matched 2605, updated 2605, photos 2116
  4210/5459 — matched 2615, updated 2615, photos 2123
  4220/5459 — matched 2625, updated 2625, photos 2128
  4230/5459 — matched 2635, updated 2635, photos 2137
  4240/5459 — matched 2645, updated 2645, photos 2146
  4250/5459 — matched 2655, updated 2655, photos 2154
  4260/5459 — matched 2665, updated 2665, photos 2159
  4270/5459 — matched 2675, updated 2675, photos 2168
  4280/5459 — matched 2685, updated 2685, photos 2177
  4290/5459 — matched 2695, updated 2695, photos 2183
  4300/5459 — matched 2705, updated 2705, photos 2190
  4310/5459 — matched 2714, updated 2714, photos 2199
  4320/5459 — matched 2724, updated 2724, photos 2208
  4330/5459 — matched 2734, updated 2734, photos 2217
  4340/5459 — matched 2744, updated 2744, photos 2226
  4350/5459 — matched 2754, updated 2754, photos 2232
  4360/5459 — matched 2764, updated 2764, photos 2241
  4370/5459 — matched 2774, updated 2774, photos 2248
  4380/5459 — matched 2784, updated 2784, photos 2257
  4390/5459 — matched 2794, updated 2794, photos 2265
  4400/5459 — matched 2804, updated 2804, photos 2272
  4410/5459 — matched 2814, updated 2814, photos 2278
  4420/5459 — matched 2824, updated 2824, photos 2287
  4430/5459 — matched 2833, updated 2833, photos 2296
  4440/5459 — matched 2843, updated 2843, photos 2305
  4450/5459 — matched 2853, updated 2853, photos 2312
  4460/5459 — matched 2862, updated 2862, photos 2320
  4470/5459 — matched 2872, updated 2872, photos 2327
