id,name,folder,flag_count,flags,website,coord_precision
d949c9e03225,Aung Mangalar Buddhist Temple,BuddhaNet (United States of America),3,"missing_description,missing_photo,missing_hours",https://www.lbccma.org/,unknown
d09f0c547a2e,Aung Mray Ratana Buddhist Monastery,BuddhaNet (Bangladesh),5,"bad_website,stacked_coords,missing_description,missing_photo,missing_hours",http://mapof.it/Dolochary,unknown
f4e7ed284cdb,Australian Buddhist Vihara,BuddhaNet (Australia),2,"bad_website,missing_description",http://mapof.it/43,address
de259efcbe38,Avalokiteshvara - Buddhist Study Center,BuddhaNet (United States of America),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/321,unknown
ab488c0ca827,Avalokitesvara Buddhist Temple,BuddhaNet (Canada),3,"missing_description,missing_photo,missing_hours",https://www.tenthavechapel.com/,address
2cce9bac3e68,Avtamsaka Monastery Meditation Centre,BuddhaNet (Canada),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/(Vietnamese,unknown
0c71df972f8e,Awakening Valley Sangha,"Zen, Chan, Son, & Thien,",2,"missing_description,missing_photo",http://www.awakeningvalleysangha.org/,address
f637cbfb3233,Awam Tibetan Buddhist Institute,BuddhaNet (United States of America),3,"missing_description,missing_photo,missing_hours",at,unknown
4dce87ea1bfc,Aylesbury Buddhist Meditation Group,BuddhaNet (United Kingdom),5,"missing_address,missing_website,missing_description,missing_photo,missing_hours",,unknown
f7686ef88d2c,Ayya Khema Group - Winkelhaid,BuddhaNet (Germany),7,"missing_phone,bad_website,stacked_coords,encoding_error,missing_description,missing_photo,missing_hours",http://mapof.it/Gabriele,unknown
f13491f70e7a,AZI Groupe of Savona,BuddhaNet (Italy),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/Savona,unknown
855d5de5fc6b,AZI Zen Group,BuddhaNet (Poland),4,"missing_phone,missing_description,missing_photo,missing_hours",https://oblaci.pl/,unknown
621a5089e4f0,B.B.K. Prachar Sangha,BuddhaNet (Bangladesh),5,"missing_phone,bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/Atisa,unknown
289d54b15435,Ba La Mat Buddhist Center,Chinese Temple,5,"missing_phone,missing_website,missing_description,missing_photo,missing_hours",,unknown
ee645fb75935,Bahujan Sukay Foundation (Reg),BuddhaNet (India),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/105/20-B1,unknown
61f310d7a51c,Balangoda Ananda Maitreya International Buddhist Fund,BuddhaNet (Sri Lanka),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/Sri,unknown
3d3c0869c60f,Bambushain Sangha,BuddhaNet (Germany),3,"missing_description,missing_photo,missing_hours",https://rok-aachen.de/,unknown
41c393f22276,Bangla-America Buddhist Fellowship (Sambodhi Vihara),BuddhaNet (United States of America),3,"missing_description,missing_photo,missing_hours",https://www.yimidwood.org/,unknown
10c4d4deca4b,Bangladesh Bhikkhu Training & Meditation Center,BuddhaNet (Bangladesh),5,"bad_website,stacked_coords,missing_description,missing_photo,missing_hours",http://mapof.it/VILL,unknown
f4e5e539479b,Bangladesh Bouddha Bhikkhu Mahasabha,BuddhaNet (Bangladesh),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/G.P.Box,unknown
ba47d4be5779,Bangladesh Bouddha Juba Parishad,BuddhaNet (Bangladesh),6,"missing_phone,bad_website,stacked_coords,missing_description,missing_photo,missing_hours",http://mapof.it/(Young,unknown
ca46d3b033d9,Bangladesh Bouddha Kristi Prachar Sangha-Youth,BuddhaNet (Bangladesh),5,"bad_website,stacked_coords,missing_description,missing_photo,missing_hours",http://mapof.it/Nava,unknown
6791d8fc9c3e,Bangladesh Buddhist Academy.,BuddhaNet (Bangladesh),5,"bad_website,stacked_coords,missing_description,missing_photo,missing_hours",http://mapof.it/PARICHOY,unknown
e4052958fabf,"Bangladesh Buddhist Center of America, inc.",BuddhaNet (United States of America),5,"missing_phone,bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/90-19,unknown
b879255e2fa4,Bangladesh Buddhist Temple,BuddhaNet (India),3,"missing_description,missing_photo,missing_hours",https://www.rootinstitute.ngo/,unknown
cb3ccad60b52,Bangladesh Youth Buddhist Association,BuddhaNet (Bangladesh),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/Chittagong,unknown
0fb459c1f0fe,Bao Chon Zen Temple,Vietnamese Temples,5,"missing_phone,missing_website,missing_description,missing_photo,missing_hours",,unknown
